Names,20200902UT,20200903UT,20200904UT,20200913UT,20200914UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.3105359247152235,1.3180147898819534,1.3255149864261662,1.329423680444754,1.3193608403941521,1.3205700443724497,0.006504066123330616,0.0029087067963841575
1_Io,1.3902660277631775,1.3245569835440667,1.3437713149717259,1.379396739245732,1.3312479161485522,1.3538477963346507,0.02626510171033743,0.011746110572052097
2_Europa,1.3552595715333202,0.0,1.3838685315935781,1.3591177192686688,1.3245390271084148,1.3556962123759955,0.02107336665401277,0.00942429607062997
3_Ganymede,0.0,1.3869868886030323,1.3869598871814128,1.3761891095216001,1.3309374819703579,1.3702683418191008,0.02313055079206418,0.010344296785613423
4_Callisto,0.0,0.0,1.3550637838864423,1.3703404677210997,1.4169305237196155,1.3807782584423858,0.026313291707834755,0.011767661794100008
Moons Ratio,1.3727627996482488,1.3557719360735496,1.3674158794082898,1.3712610089392752,1.350913737236735,1.3636250722612198,0.00871120652566561,0.0038957699914856144
Moons StdP,0.01750322811492866,0.03121495252948281,0.01846820033829525,0.007726305118352633,0.03820875791431535,0.0,0.0,0.0
95% Conf,0.012376651292721086,0.022072304608013467,0.009234100169147625,0.0038631525591763167,0.019104378957157674,0.0,0.0,0.0
Trans647,0.954670337112158,0.9721508129892815,0.9693576083084138,0.9694898868838369,0.9766432926301248,0.0,0.0,0.0
NH3 Abs,0.045329662887842015,0.02784918701071848,0.030642391691586224,0.03051011311616314,0.023356707369875163,0.0,0.0,0.0
Trans Conf,0.009015870255147086,0.016280248927365362,0.006752956659493685,0.0028172262858728978,0.014141820036736965,0.0,0.0,0.0
